Building Code,Address,Property Type,E (kWh),G(therms),O(gallon),Building Gross Footage
744,34 BUSWELL STREET,Residential,86480,0,0,17446.85
745,35 BUSWELL STREET,Residential,21363,0,2683.1,5016.57
746,37 BUSWELL STREET,Residential,17758,6714,0,4812.38
747,39 BUSWELL STREET,Residential,20628,0,0,5039.72
748,50-52 BUSWELL STREET,Residential,56276,10183,0,15305.33
750,,Residential,43106,18947,0,
751,,Residential,400320,62191,0,
753,3 BUSWELL STREET,Residential,18055,902,1912.7,5947.71
763,17 BUSWELL STREET,Residential,71890,0,0,6034.41
770,29 BUSWELL STREET,Residential,15398,34,3305.8,4852.06
771,45 BUSWELL STREET,Residential,13709,0,2277.7,5384.29
772,47 BUSWELL STREET,Residential,19810,19,2561.4,5201.34
773,53-57 DEERFIELD STREET,Residential,33882,8169,0,9572.81
774,43 BUSWELL STREET,Residential,15306,3519,0,4830.13
775,,Residential,29080,17,4277,
776,78 BAY STATE ROAD,Residential,66006.33,0,0,5438.35
777,80 BAY STATE ROAD,Residential,65905,0,0,5274.25
779,7 BUSWELL STREET,Residential,26520,0,2684.7,6098.9
781,852 BEACON STREET,Residential,91666.25,0,0,7380.37
782,832 BEACON STREET,Residential,75307.08,0,0,5894.97
783,856-862 BEACON STREET,Residential,154703.67,37108,1209.2,39732.93
784,96 MOUNTFORT STREET,Residential,96880,16938,0,9081.95
785,806-820 BEACON STREET,Residential,44858,0,10943.3,19328.25
786,575 COMMONWEALTH AVENUE,Residential,1074780,25784,23080.8,139367.77
787,33 BUSWELL STREET,Residential,28509,4682,0,5040.6
788,844 BEACON STREET,Residential,79520,17678,0,20857.52
790,75 BAY STATE ROAD,Residential,76680,668,0,10245.35
792,,Residential,16629,0,720.8,
795,845 BEACON STREET,Residential,6993,0,4559.8,6555.44
796,848 BEACON STREET,Residential,19565,0,3647,7085.29
798,864 BEACON STREET,Residential,24908,5487,0,6553.5
799,55 BUSWELL STREET,Residential,53080,13527,0,15329.7
801,625 COMMONWEALTH AVENUE,Residential,42052,2652,0,7444.6
803,46 MOUNTFORT STREET,Residential,116560,0,11286.5,30467.37
804,1A BUSWELL STREET,Residential,34200,6533,0,7547.15
805,15 BUSWELL STREET,Residential,28840,0,4485.1,6137.82
806,205 BAY STATE ROAD,Residential,44022,3949,0,7079.91
808,870 BEACON STREET,Residential,46079,2678,3323.1,6431.19
810,824-826 BEACON STREET,Residential,34059,0,4267.5,9276.62
819,90 ST. MARY'S STREET,Residential,107710,830,13131.7,23107.17
822,834-836 BEACON STREET,Residential,36595,0,5656.2,9560.18
823,866 BEACON STREET,Residential,22425,878,2380.7,6650.07
824,76 BAY STATE ROAD,Residential,72800.5,0,0,6178.21
825,115 BAY STATE ROAD,Residential,38609,0,5766.9,9497.09
826,61 BAY STATE ROAD,Residential,27124,86,4192.6,9997.92
828,828 BEACON STREET,Residential,29982,0,4247.3,6044.33
829,830 BEACON STREET,Residential,20596,0,3348.1,5968.87
830,,Residential,12495,761,0,
831,850 BEACON STREET,Residential,37971,5160,0,7135.59
832,,Residential,20279.91,0,5805.5,
833,56 BAY STATE ROAD,Residential,58715.58,0,0,5569.94
834,74 BAY STATE ROAD,Residential,74148,0,0,6082.79
835,855 BEACON STREET,Residential,9192,0,2819.5,6754.43
837,867 BEACON STREET,Residential,8640,0,4953.7,7759.97
840,906 BEACON STREET,Residential,12836.75,0,6374.2,7353.14
842,455 PARK DRIVE,Residential,55528.58,3,11659.2,16305.46
