Address,2006Area,2006EUI,2015Area,2015EUI,2016Area,2016EUI,2017Area,2017EUI,2018Area,2018EUI,2019Area,2019EUI,2020Area,2020EUI,2021Area,2021EUI
139baystateroad,6847.1,4.609104584,,,,,,,,,,,,,,
73baystateroad,10888.26,3.870315367,,,,,,,,,,,,,,
273babcockstreet,134169.16,68.82841034,,,,,,,,,,,,,,
41buswellstreet,5393.92,5.042158579,,,,,,,,,,,,,,
209baystateroad,6876.58,6.426101347,,,,,,,,,,,,,,
200-202baystateroad,15281.53,5.692231079,,,,,,,,,,,,,,
65baystateroad,10264.29,2.431770731,,,,,,,,,,,,,,
517beaconstreet,9172.59,12.19575932,,,,,,,,,,,,,,
481commonwealthavenue,12050.46,4.680949939,,,,,,,,,,,,,,
59baystateroad,9622.17,3.096765075,,,,,,,,,,,,,,
60baystateroad,6507.28,1.832747323,,,,,,,,,,,,,,
84baystateroad,6571.31,3.006861646,,,,,,,,,,,,,,
62baystateroad,6583.05,10.58911447,,,,,,,,,,,,,,
77baystateroad,13271.71,1.801186885,,,,,,,,,,,,,,
82baystateroad,6294.44,3.113137944,,,,,,,,,,,,,,
86baystateroad,6783.68,1.855961661,,,,,,,,,,,,,,
94baystateroad,6833.35,5.755449377,,,,,,,,,,,,,,
110baystateroad,5133.96,4.330575228,,,,,,,,,,,,,,
171baystateroad,7184.56,5.47261071,,,,,,,,,,,,,,
131baystateroad,9286.69,3.039942111,,,,,,,,,,,,,,
1buswellstreet,7608.81,5.04822699,,,,,,,,,,,,,,
2buswellstreet,5457.92,11.03510128,,,,,,,,,,,,,,
5buswellstreet,6320.32,4.171624222,,,,,,,,,,,,,,
6buswellstreet,25818.23,5.707633715,,,,,,,,,,,,,,
22buswellstreet,17662.74,9.754205746,,,,,,,,,,,,,,
34buswellstreet,17446.85,4.9567687,,,,,,,,,,,,,,
35buswellstreet,5016.57,4.793334888,,,,,,,,,,,,,,
37buswellstreet,4812.38,5.085217709,,,,,,,,,,,,,,
39buswellstreet,5039.72,4.093084536,,,,,,,,,,,,,,
50-52buswellstreet,15305.33,4.342212811,,,,,,,,,,,,,,
3buswellstreet,5947.71,3.508863075,,,,,,,,,,,,,,
17buswellstreet,6034.41,11.91334364,,,,,,,,,,,,,,
29buswellstreet,4852.06,3.861823638,,,,,,,,,,,,,,
45buswellstreet,5384.29,2.969137992,,,,,,,,,,,,,,
47buswellstreet,5201.34,4.304736856,,,,,,,,,,,,,,
53-57deerfieldstreet,9572.81,4.392754061,,,,,,,,,,,,,,
43buswellstreet,4830.13,3.897410629,,,,,,,,,,,,,,
78baystateroad,5438.35,12.13719786,,,,,,,,,,,,,,
80baystateroad,5274.25,12.49561549,,,,,,,,,,,,,,
7buswellstreet,6098.9,4.788519241,,,,,,,,,,,,,,
852beaconstreet,7380.37,12.42027839,,,,,,,,,,,,,,
832beaconstreet,5894.97,12.77480293,,,,,,,,,,,,,,
856-862beaconstreet,39732.93,4.857957115,"35,364",125.9,35364,127.4,"35,364",108.4,35364,104.3,35364,109.2,35364,117,,
96mountfortstreet,9081.95,12.53233061,,,,,,,,,,,,,,
806-820beaconstreet,19328.25,2.887033229,,,,,,,,,,,,,,
575commonwealthavenue,139367.77,8.062443706,,,,,,,,,,,,,,
33buswellstreet,5040.6,6.584731976,,,,,,,,,,,,,,
844beaconstreet,20857.52,4.660093817,,,,,,,,,,,,,,
75baystateroad,10245.35,7.549571269,,,,,,,,,,,,,,
845beaconstreet,6555.44,1.76232259,,,,,,,,,,,,,,
848beaconstreet,7085.29,3.276083265,,,,,,,,,,,,,,
864beaconstreet,6553.5,4.637979706,,,,,,,,,,,,,,
55buswellstreet,15329.7,4.34496435,,,,,,,,,,,,,,
625commonwealthavenue,7444.6,6.00488945,,,,,,,,,,,,,,
46mountfortstreet,30467.37,4.196177747,,,,,,,,,,,,,,
1abuswellstreet,7547.15,5.397136667,,,,,,,,,,,,,,
15buswellstreet,6137.82,5.429468443,,,,,,,,,,,,,,
205baystateroad,7079.91,6.775651103,,,,,,,,,,,,,,
870beaconstreet,6431.19,8.098050283,,,,,,,,,,,,,,
824-826beaconstreet,9276.62,4.131515574,,,,,,,,,,,,,,
90st.mary'sstreet,23107.17,5.265538792,,,,,,,,,,,,,,
834-836beaconstreet,9560.18,4.419498378,,,,,,,,,,,,,,
866beaconstreet,6650.07,3.862169872,,,,,,,,,,,,,,
76baystateroad,6178.21,11.78342918,,,,,,,,,,,,,,
115baystateroad,9497.09,4.672578653,,,,,,,,,,,,,,
61baystateroad,9997.92,3.14091331,,,,,,,,,,,,,,
828beaconstreet,6044.33,5.663042885,,,,,,,,,,,,,,
830beaconstreet,5968.87,4.011496313,,,,,,,,,,,,,,
850beaconstreet,7135.59,6.044489664,,,,,,,,,,,,,,
56baystateroad,5569.94,10.54151032,,,,,,,,,,,,,,
74baystateroad,6082.79,12.18980106,,,,,,,,,,,,,,
855beaconstreet,6754.43,1.77831438,,,,,,,,,,,,,,
867beaconstreet,7759.97,1.751772236,,,,,,,,,,,,,,
906beaconstreet,7353.14,2.612618555,,,,,,,,,,,,,,
455parkdrive,16305.46,4.120753416,,,,,,,,,,,,,,
25aberdeenstreet,7113.74,2.676451487,,,,,,,,,,,,,,
27aberdeenstreet,8248.13,4.755704626,,,,,,,,,,,,,,
853beaconstreet,6477.41,2.194452721,,,,,,,,,,,,,,
875beaconstreet,6814.93,0.813507989,,,,,,,,,,,,,,
124baystateroad,5617.25,1.115403445,,,,,,,,,,,,,,
